"You have added this product to your wishlist","You have added this product to your wishlist"
"You can't login right now.","You can't login right now."
"Choose an Option...","Choose an Option..."
"Grouped product items","Grouped product items"
"Product Name","Product Name"
"Qty","Qty"
"Availability","Availability"
"Out of stock","Out of stock"
"No options of this product are available.","No options of this product are available."
"Add to Wishlist","Add to Wishlist"
"Cancel","Cancel"
"Error: Please log in account before add product to wishlist.","Error: Please log in account before add product to wishlist."
"Close","Close"
"View Wishlist","View Wishlist"
"Please log in before adding product to your wishlist.","Please log in before adding product to your wishlist."
"View Login","View Login"
"Login","Login"
"You have added this product to your wishlist","You have added this product to your wishlist"
"* Required Fields","* Required Fields"
"Success","Success"
"View Wishlist","View Wishlist"
Error in sending ajax request,Error in sending ajax request
